City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
390,Nelson,NZ,-41.2833,173.2833,50.29,93,100,1.99,overcast clouds
391,Luquillo,PR,18.3725,-65.7166,79.81,85,78,14.43,broken clouds
392,Melilla,ES,35.2937,-2.9383,89.8,34,0,18.41,clear sky
393,Svetlaya,RU,46.5389,138.3297,64.99,90,98,12.3,overcast clouds
394,Okitipupa,NG,6.5047,4.7839,80.55,78,68,6.02,moderate rain
395,Piraju,BR,-23.1936,-49.3839,43.74,87,95,12.71,overcast clouds
396,Meulaboh,ID,4.1363,96.1285,74.98,94,100,5.37,overcast clouds
397,Cockburn Town,TC,21.4612,-71.1419,82.44,76,3,19.3,clear sky
398,Saint-Imier,CH,47.1528,6.9969,69.15,72,75,6.91,broken clouds
399,Airai,TL,-8.9266,125.4092,62.71,84,98,2.39,overcast clouds
400,Rorvik,NO,64.8621,11.2373,54.09,90,100,12.5,light rain
401,Tommot,RU,58.9564,126.2925,64.89,60,6,6.6,clear sky
402,Zyryanka,RU,65.75,150.85,57.45,53,99,12.19,overcast clouds
403,Nelson Bay,AU,-32.7167,152.15,62.1,73,6,7.16,clear sky
404,Berlevag,NO,70.8578,29.0864,48.27,88,100,15.52,overcast clouds
405,Kargasok,RU,59.0556,80.8572,56.77,96,100,14.32,light rain
406,Jiayuguan,CN,39.8167,98.3,96.24,11,28,21.0,scattered clouds
407,North Bend,US,43.4065,-124.2243,60.93,94,90,9.22,overcast clouds
408,Wapi Pathum,TH,15.8452,103.3768,94.96,58,95,16.2,overcast clouds
409,Venice,US,27.0998,-82.4543,83.98,95,58,7.4,broken clouds
410,Beloha,MG,-25.1667,45.05,80.06,38,0,8.79,clear sky
411,Valdivia,CL,-39.8142,-73.2459,35.6,99,15,2.64,few clouds
412,Payakumbuh,ID,-0.2202,100.6308,78.37,86,89,2.77,light rain
413,Nome,US,64.5011,-165.4064,53.67,94,90,13.8,light rain
414,Chingirlau,KZ,51.095,54.0814,96.94,17,41,16.96,scattered clouds
415,Yarada,IN,17.65,83.2667,93.52,49,75,13.8,broken clouds
416,Mlonggo,ID,-6.5333,110.7,85.89,70,44,7.9,scattered clouds
417,Mukhen,RU,48.1,136.1,70.97,84,96,5.1,overcast clouds
418,San Policarpo,PH,12.1791,125.5072,86.54,68,89,10.42,overcast clouds
419,Salalah,OM,17.0151,54.0924,77.02,90,100,15.03,overcast clouds
420,Mandiana,GN,10.6333,-8.6833,76.32,85,96,8.81,overcast clouds
421,Oistins,BB,13.0667,-59.5333,80.69,83,40,16.11,scattered clouds
422,Oranjemund,NA,-28.55,16.4333,77.41,20,0,16.37,clear sky
423,Abalak,RU,58.1286,68.5944,62.94,73,100,6.17,overcast clouds
424,Horsham,GB,51.064,-0.3272,67.93,72,40,6.91,scattered clouds
425,Teya,RU,60.3778,92.6267,73.67,34,22,6.62,few clouds
426,Mamakan,RU,57.8161,114.0028,73.36,39,6,12.46,clear sky
427,Ejea De Los Caballeros,ES,42.1263,-1.1372,77.88,62,100,14.32,overcast clouds
428,Trairi,BR,-3.2778,-39.2689,76.48,74,74,10.02,broken clouds
429,Kasongo-Lunda,CD,-6.4667,16.8167,92.03,16,5,7.72,clear sky
430,Nishihara,JP,26.1842,127.7558,83.86,95,75,9.22,thunderstorm
431,Karratha,AU,-20.7377,116.8463,74.86,37,3,11.34,clear sky
432,Egvekinot,RU,66.3167,-179.1667,35.29,77,95,6.6,overcast clouds
433,Shahrud,IR,36.4182,54.9763,86.2,25,43,7.85,scattered clouds
434,Coihaique,CL,-45.5752,-72.0662,30.15,93,0,2.3,clear sky
435,Belozerskoye,RU,55.8214,65.5842,76.01,54,97,9.31,overcast clouds
436,Hofn,IS,64.2539,-15.2082,48.07,80,45,5.73,scattered clouds
437,Zhuhai,CN,22.2769,113.5678,87.06,89,20,5.75,light intensity shower rain
438,Vanderhoof,CA,54.0166,-124.0198,58.84,65,0,1.07,clear sky
439,Terrace,CA,54.5163,-128.6035,66.11,82,40,3.44,scattered clouds
440,Placido De Castro,BR,-10.3353,-67.1856,57.45,54,32,3.0,scattered clouds
441,Aksu,CN,41.1231,80.2644,95.88,15,0,3.06,clear sky
442,Thai Binh,VN,20.45,106.3333,93.2,71,99,10.36,overcast clouds
443,Juli,PE,-16.2167,-69.45,34.41,86,23,1.32,few clouds
444,Bilma,NE,18.6853,12.9164,100.0,11,15,2.66,few clouds
445,Tucuma,BR,-0.1833,-50.05,75.49,91,49,3.76,scattered clouds
446,Nizhniy Baskunchak,RU,48.2198,46.8311,96.17,16,23,9.78,few clouds
447,Zhezkazgan,KZ,47.8043,67.7144,88.45,12,70,2.77,broken clouds
448,Aykhal,RU,66.0,111.5,76.6,26,3,9.91,clear sky
449,Harper,LR,4.375,-7.7169,78.42,81,57,9.51,moderate rain
450,Chimore,BO,-16.9833,-65.1333,54.57,68,19,1.41,few clouds
451,Wylie,US,33.0151,-96.5389,84.33,82,1,1.01,clear sky
452,San Quintin,MX,30.4833,-115.95,68.32,87,12,6.11,few clouds
453,Atar,MR,20.5169,-13.0499,101.84,18,4,8.48,clear sky
454,Narsaq,GL,60.9167,-46.05,48.2,76,100,2.26,overcast clouds
455,Cairns,AU,-16.9167,145.7667,72.07,85,24,1.14,few clouds
456,Yakeshi,CN,49.2833,120.7333,59.04,91,98,14.12,overcast clouds
457,The Valley,AI,18.217,-63.0578,82.26,77,5,19.19,clear sky
458,Suntar,RU,62.1444,117.6319,79.7,32,3,3.67,clear sky
459,Qinzhou,CN,21.95,108.6167,88.3,73,100,7.38,heavy intensity rain
460,Manica,FR,49.0,-1.1667,63.81,85,77,9.53,broken clouds
461,Sucre,BO,-19.0333,-65.2627,44.26,82,95,2.04,overcast clouds
462,Katsuura,JP,35.1333,140.3,87.12,84,1,7.27,clear sky
463,Yulara,AU,-25.2406,130.9889,76.84,25,0,13.8,clear sky
464,Mosquera,CO,4.7059,-74.2302,51.89,100,75,5.75,broken clouds
465,Kosonsoy,UZ,41.2561,71.5508,90.16,13,50,2.06,scattered clouds
466,Semirara,PH,12.0697,121.3986,83.98,78,99,18.21,overcast clouds
467,Puerto Padre,CU,21.195,-76.6028,76.64,93,90,5.5,overcast clouds
468,Maceio,BR,-9.6658,-35.7353,72.84,100,75,4.61,broken clouds
469,Lumeje,AO,-11.55,20.7833,78.89,19,0,11.25,clear sky
470,Pital,CO,2.2665,-75.8044,62.46,87,95,5.28,overcast clouds
471,Buenos Aires,AR,-34.6132,-58.3772,47.97,75,0,3.44,clear sky
472,Namatanai,PG,-3.6667,152.4333,79.68,82,51,5.48,light rain
473,Banjar,ID,-8.19,114.9675,82.26,71,34,3.56,scattered clouds
474,Bongandanga,CD,1.5,21.05,93.58,37,99,3.91,overcast clouds
475,Llandrindod Wells,GB,52.2416,-3.3787,63.3,86,99,10.16,overcast clouds
476,Aquiraz,BR,-3.9014,-38.3911,79.21,66,31,11.07,scattered clouds
477,Soyo,AO,-6.1349,12.3689,77.05,67,74,7.36,broken clouds
478,Flinders,AU,-34.5833,150.8552,66.06,53,3,9.1,clear sky
479,Kananga,CD,-5.8958,22.4178,93.09,12,9,10.4,clear sky
480,Khanpur,PK,28.6453,70.6567,108.95,27,4,8.23,clear sky
481,West Wendover,US,40.7391,-114.0733,72.61,64,75,3.44,broken clouds
